Gran grupo,Sub grupo principal,Sub grupo,Grupo primario,Descripcion CNO 2015,Orden
,,516,,Otros trabajadores de servicios personales,363
,,,5161,"Astrólogos, adivinadores y afines",364
,,,5162,Personal de pompas fúnebres y embalsamadores,365
,,,5163,Cuidadores de animales,366
,,,5164,Instructores de manejo de auto,367
,,,5165,"Modelos de moda, arte y publicidad",368
,,,5169,Otros trabajadores de servicios personales,369
,52,,,Vendedores,370
,,521,,"Vendedores mayoristas, minoristas y en puestos de mercado",371
,,,5211,Vendedores mayoristas,372
,,,5212,Vendedores minoristas en tiendas y establecimientos (excepto kioscos y mercados),373
,,,5213,Vendedores en kiosco fijo y puestos de mercado,374
,,522,,Supervisores y Asistentes en tiendas y almacenes ,375
,,,5221,Supervisores de comercio al por mayor,376
,,,5222,Supervisores de comercio al por menor,377
,,,5223,Asistentes de venta en tiendas y almacenes,378
,,523,,Cajeros y expendedores de billetes,379
,,,5230,Cajeros y expendedores de billetes (excepto cajeros de banco),380
,,524,,Otros vendedores,381
,,,5241,"Demostradores, degustadores y reponedores",382
,,,5242,Vendedores puerta a puerta,383
,,,5243,Vendedores por teléfono,384
,,,5244,Expendedores de gasolineras,385
,,,5245,Vendedores de comidas en mostrador,386
,,,5249,Otros vendedores,387
,53,,,Trabajadores de cuidados personales,388
,,531,,Cuidadores y auxiliares de niños ,389
,,,5311,Cuidadores de niños en instituciones ,390
,,,5312,Auxiliares de maestros,391
,,532,,Trabajadores en el cuidado de personas en servicios de salud,392
,,,5321,Trabajadores en el cuidado de personas en instituciones,393
,,,5322,Trabajadores en el cuidado de personas a domicilio,394
,,,5329,Otros trabajadores en el cuidado de personas en servicio de salud,395
,54,,,Personal de servicios de protección,396
,,541,,Personal de los servicios de protección,397
,,,5411,Bomberos,398
,,,5412,Policías municipales,399
,,,5413,Guardianes de prisión,400
,,,5414,Guardias de protección en establecimiento,401
,,,5419,Otro personal de los servicios de protección,402
6,,,,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",403
,61,,,Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado,404
,,611,,Agricultores y trabajadores calificados de jardines y de cultivos para el mercado,405
,,,6111,Agricultores y trabajadores calificados de cultivos extensivos,406
,,,6112,Agricultores y trabajadores calificados de plantaciones de árboles y arbustos,407
,,,6113,"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines",408
,,,6114,"Agricultores y trabajadores calificados de cultivos mixtos (Agrícolas, pecuarios y forestales)",409
,,612,,Criadores y trabajadores pecuarios calificados en la cría de animales para el mercado y afines,410
,,,6121,Criadores y trabajadores calificados de ganado,411
,,,6122,Avicultores y trabajadores calificados de la avicultura,412
,,,6123,Apicultores y sericultores y trabajadores calificados de la apicultura y la sericultura,413
,,,6129,Otros criadores y trabajadores pecuarios calificados en la cria de animales para el mercado,414
,,613,,Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado,415
,,,6130,Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado,416
,62,,,"Trabajadores forestales calificados, pescadores y cazadores",417
,,621,,Trabajadores forestales calificados y afines,418
,,,6210,Trabajadores forestales calificados y afines,419
,,622,,"Pescadores, cazadores y tramperos",420
,,,6221,Trabajadores de explotaciones de acuicultura,421
,,,6222,Pescadores de agua dulce y en aguas costeras,422
,,,6223,Pescadores de alta mar,423
,,,6224,Cazadores y tramperos,424
,63,,,"Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia",425
,,631,,Trabajadores agrícolas de subsistencia,426
,,,6310,Trabajadores agrícolas de subsistencia,427
,,632,,Trabajadores pecuarios de subsistencia,428
,,,6320,Trabajadores pecuarios de subsistencia,429
,,633,,Trabajadores agropecuarios de subsistencia,430
,,,6330,Trabajadores agropecuarios de subsistencia,431
,,634,,"Pescadores, cazadores, tramperos y recolectores de subsistencia",432
,,,6340,"Pescadores, cazadores, tramperos y recolectores de subsistencia",433
7,,,,"Trabajadores de la construcción, edificación, productos artesanales, electricidad y las telecomunicaciones",434
,71,,,"Trabajadores de la construcción, edificación y acabados excluyendo electricistas",435
,,711,,Trabajadores de la construcción y edificaciones y afines,436
,,,7111,Albañiles y constructores de casas y grandes obras civiles,437
,,,7112,"Mamposteros, tronzadores, labradores y grabadores de piedra",438
,,,7113,Carpinteros de armar y armados de casas,439
,,,7119,Otros trabajadores de la construcción y edificaciones,440
,,712,,Trabajadores de la construcción en acabados,441
,,,7121,Techadores,442
,,,7122,"Yeseros, escayolistas y otros revocadores de techos y paredes",443
,,,7123,"Instaladores de pisos, parquet, baldosas y azulejos",444
,,,7124,Instaladores de material aislante y de insonorización,445
,,,7125,Instaladores de refrigeración y climatización,446
,,,7126,Instaladores de vidrio y cristaleros,447
,,,7127,Gasfiteros e instaladores de tuberías,448
,,,7128,Pintores de brocha gorda,449
,,,7129,Otros pintores excepto brocha gorda,450
,72,,,"Trabajadores de la metalurgia, la construcción metálica y afines",451
,,721,,"Moldeadores, soldadores, montadores de estructuras metálicas y afines",452
,,,7211,"Moldeadores, torneros y troqueladores",453
,,,7212,Soldadores y oxicortadores,454
,,,7213,Hojalateros y pintores de metales,455
,,,7214,Montadores de estructuras metálicas,456
,,722,,"Herreros, cerrajeros y afines",457
,,,7221,Herreros y forjadores,458
,,,7222,Cerrajeros y Herramentistas,459
,,,7223,Reguladores y operadores de máquinas de herramientas,460
,,,7224,Pulidores de metales y afiladores de herramientas,461
,,723,,Mecánicos y reparadores de máquinas a motor y pedal,462
,,,7231,Mecánicos y reparadores de vehículos de motor,463
,,,7232,Mecánicos y reparadores de motores de avión,464
,,,7233,Mecánicos y reparadores de motores de barco,465
,,,7234,Mecánicos y reparadores de máquinas agrícolas e industriales,466
,,,7235,Reparadores de bicicletas y afines,467
,73,,,"Artesanos y trabajadores en la elaboración de productos de madera, papel, textiles cuero y piel",468
,,731,,"Artesanos y trabajadores en la elaboración de joyas, productos de palma, carrizo, mimbre y afines",469
,,,7311,"Joyeros, orfebres y plateros",470
,,,7312,Alfareros y afines (barro arcilla y ladrillo),471
,,,7313,"Artesanos de productos de palma, carrizo, mimbre, junco y afines",472
,,732,,"Trabajadores en el tratamiento de la madera, ebanistas y afines",473
,,,7321,Trabajadores en el tratamiento de la madera,474
,,,7322,Ebanistas y afines,475
,,733,,"Trabajadores en la elaboración de productos de papel, cartón y trabajos de impresión ",476
,,,7331,Trabajadores en la elaboración artesanal de papel y cartón,477
,,,7332,"Impresores, tipógrafos y Linotipistas",478
